CASE ID;Date;Start of Week;Start of Month;TRANSLATED COMMENTS;Feeling;FEEL;CHANNEL;RESOLUTION TIME (min);CSAT Rating Received;CLASSIFICATION;RESOLVED IN SLA;FIRST TOUCH RESOLUTION;Group Name History;Groups;Total Groups;CSAT Rated Group Name;ISSUE CLASSIFICATION
CASE-1825;2025-12-13;2025-12-07;2025-12-01;The phone team was unprofessional and unhelpful.;negative;negative;email;3819;2;DETRACTOR;0;0;Grupo G,Grupo A,Grupo F;3;3;Grupo F;Login Problems
CASE-1995;2024-09-15;2024-09-15;2024-09-01;The email response was rude and incomplete.;negative;negative;email;1639;1;DETRACTOR;0;0;Grupo H,Grupo B,Grupo J,Grupo B,Grupo D;4;5;Grupo D;Transaction Error
CASE-1204;2024-12-30;2024-12-29;2024-12-01;Email support didn’t bother to read my email.;negative;negative;phone;33;1;DETRACTOR;0;0;Grupo E,Grupo G;2;2;Grupo G;Transaction Error
CASE-1497;2025-03-18;2025-03-16;2025-03-01;Email support was fast and gave me all the info I needed.;positive;positive;chatbot;3;5;PROMOTER;1;0;Grupo H;1;1;Grupo H;Account Setup
CASE-1161;2023-03-03;2023-02-26;2023-03-01;The chatbot assisted me with my savings account inquiry perfectly.;positive;positive;phone;26;5;PROMOTER;1;1;Grupo F,Grupo C;2;2;Grupo C;Payment Issues
CASE-1540;2024-10-27;2024-10-27;2024-10-01;The chatbot answered my fees query, but it took time.;neutral;neutral;email;1094;4;PROMOTER;1;0;Grupo C,Grupo F;2;2;Grupo F;General Inquiry
CASE-1093;2025-04-17;2025-04-13;2025-04-01;The chatbot was alright with my loan terms.;neutral;neutral;email;1123;3;DETRACTOR;1;0;Grupo A,Grupo C;2;2;Grupo C;Payment Issues
CASE-1405;2023-04-25;2023-04-23;2023-04-01;The chatbot crashed during my transaction query.;negative;negative;email;3154;2;DETRACTOR;0;0;Grupo F,Grupo E,Grupo J;3;3;Grupo J;Fraud Report
CASE-1303;2024-11-04;2024-11-03;2024-11-01;The chatbot handled my balance check, but it was slow.;neutral;neutral;phone;42;3;DETRACTOR;0;0;Grupo B,Grupo I,Grupo J;3;3;Grupo J;Loan Inquiry
CASE-1165;2023-05-30;2023-05-28;2023-05-01;The chatbot couldn’t help with my card replacement.;negative;negative;chatbot;57;1;DETRACTOR;0;0;Grupo F,Grupo E,Grupo C;3;3;Grupo C;Transaction Error
CASE-1551;2023-09-24;2023-09-24;2023-09-01;The email team provided excellent service, I’m happy!;positive;positive;email;69;5;PROMOTER;1;1;Grupo D,Grupo B,Grupo G;3;3;Grupo G;Payment Issues
CASE-1254;2025-11-03;2025-11-02;2025-11-01;The email response was professional and to the point.;positive;positive;chatbot;5;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Card Issues
CASE-1037;2025-12-05;2025-11-30;2025-12-01;The chatbot couldn’t help with my card replacement.;negative;negative;chatbot;81;1;DETRACTOR;0;1;Grupo E,Grupo E,Grupo A;2;3;Grupo A;Transaction Error
CASE-1142;2023-08-24;2023-08-20;2023-08-01;The phone agent didn’t even try to assist me.;negative;negative;chatbot;111;2;DETRACTOR;0;0;Grupo G,Grupo C,Grupo I,Grupo H;4;4;Grupo H;Card Issues
CASE-1966;2023-02-27;2023-02-26;2023-02-01;The chatbot gave me wrong loan terms info.;negative;negative;phone;192;1;DETRACTOR;0;0;Grupo H,Grupo A,Grupo G,Grupo D;4;4;Grupo D;Transaction Error
CASE-1393;2023-10-06;2023-10-01;2023-10-01;Phone support was outstanding, they deserve praise!;positive;positive;email;102;5;PROMOTER;1;1;Grupo J;1;1;Grupo J;Balance Inquiry
CASE-1750;2025-08-25;2025-08-24;2025-08-01;The email response was late and irrelevant.;negative;negative;email;3772;1;DETRACTOR;0;0;Grupo H,Grupo H,Grupo H,Grupo J;2;4;Grupo J;Transaction Error
CASE-1635;2024-07-05;2024-06-30;2024-07-01;The chatbot couldn’t process my balance request.;negative;negative;chatbot;29;1;DETRACTOR;0;0;Grupo I;1;1;Grupo I;Payment Issues
CASE-1105;2025-02-13;2025-02-09;2025-02-01;I got a fast and friendly response via email, great job!;positive;positive;phone;7;4;PROMOTER;1;0;Grupo H;1;1;Grupo H;Balance Inquiry
CASE-1732;2023-08-15;2023-08-13;2023-08-01;The email team didn’t care about my problem.;negative;negative;phone;40;1;DETRACTOR;0;0;Grupo D,Grupo G,Grupo E;3;3;Grupo E;Transaction Error
CASE-1957;2024-09-24;2024-09-22;2024-09-01;The chatbot explained my fees so clearly, I’m impressed!;positive;positive;chatbot;1;4;PROMOTER;1;0;Grupo G,Grupo E;2;2;Grupo E;Loan Inquiry
CASE-1046;2023-07-05;2023-07-02;2023-07-01;I had a horrible experience with the phone support.;negative;negative;phone;105;2;DETRACTOR;0;0;Grupo J,Grupo J,Grupo E,Grupo A;3;4;Grupo A;Card Issues
CASE-1914;2024-09-18;2024-09-15;2024-09-01;The phone team was great at helping me with my card.;positive;positive;phone;12;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Account Setup
CASE-1012;2025-07-04;2025-06-29;2025-07-01;The phone agent didn’t listen to my complaint.;negative;negative;chatbot;57;2;DETRACTOR;0;0;Grupo E,Grupo G,Grupo I;3;3;Grupo I;Payment Issues
CASE-1607;2023-09-25;2023-09-24;2023-09-01;Phone support was regular, nothing impressive.;neutral;neutral;chatbot;29;3;DETRACTOR;0;1;Grupo G,Grupo D,Grupo F;3;3;Grupo F;Loan Inquiry
CASE-1903;2024-11-20;2024-11-17;2024-11-01;The chatbot helped me with my account balance quickly.;positive;positive;chatbot;2;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Account Setup
CASE-1059;2023-09-06;2023-09-03;2023-09-01;The email team provided excellent service, I’m happy!;positive;positive;email;266;5;PROMOTER;1;1;Grupo A,Grupo A;1;2;Grupo A;Payment Issues
CASE-1583;2023-10-07;2023-10-01;2023-10-01;The chatbot was average with my card request.;neutral;neutral;email;1016;4;PROMOTER;1;1;Grupo H,Grupo F;2;2;Grupo F;Transaction Error
CASE-1528;2023-06-12;2023-06-11;2023-06-01;The chatbot made banking so convenient, I love it!;positive;positive;email;187;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Payment Issues
CASE-1400;2023-08-31;2023-08-27;2023-08-01;The chatbot was quick to assist with my card issue.;positive;positive;phone;10;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Account Setup
CASE-1555;2024-01-06;2023-12-31;2024-01-01;Email support was excellent and very responsive.;positive;positive;phone;7;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Fees Inquiry
CASE-1866;2024-07-26;2024-07-21;2024-07-01;The phone team was okay, nothing standout.;neutral;neutral;phone;58;4;PROMOTER;0;0;Grupo H,Grupo B;2;2;Grupo B;Account Setup
CASE-1691;2024-11-29;2024-11-24;2024-11-01;The email response was generic and useless.;negative;negative;phone;73;1;DETRACTOR;0;0;Grupo A,Grupo E;2;2;Grupo E;Fraud Report
CASE-1406;2024-01-21;2024-01-21;2024-01-01;The email team helped me with my statement questions quickly.;positive;positive;email;220;4;PROMOTER;1;1;Grupo H,Grupo E;2;2;Grupo E;Payment Issues
CASE-1346;2024-12-01;2024-12-01;2024-12-01;The chatbot crashed during my transaction query.;negative;negative;email;1917;2;DETRACTOR;0;0;Grupo E,Grupo B,Grupo G,Grupo A,Grupo G;4;5;Grupo G;Card Issues
CASE-1624;2023-01-31;2023-01-29;2023-01-01;The phone team made my experience so pleasant today.;positive;positive;chatbot;2;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Payment Issues
CASE-1007;2025-09-27;2025-09-21;2025-09-01;The staff made transferring funds so easy and stress-free.;positive;positive;phone;17;4;PROMOTER;1;1;Grupo B,Grupo C;2;2;Grupo C;Account Setup
CASE-1610;2025-10-05;2025-10-05;2025-10-01;The email team was courteous and efficient.;positive;positive;email;117;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Balance Inquiry
CASE-1630;2023-09-20;2023-09-17;2023-09-01;The email response was detailed and very helpful.;positive;positive;email;278;5;PROMOTER;1;1;Grupo I,Grupo E;2;2;Grupo E;Transaction Error
CASE-1720;2023-03-23;2023-03-19;2023-03-01;The chatbot answered my mortgage question accurately.;positive;positive;email;73;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Account Setup
CASE-1186;2023-03-01;2023-02-26;2023-03-01;Phone support was friendly and resolved my concern.;positive;positive;email;129;5;PROMOTER;1;0;Grupo C;1;1;Grupo C;Loan Inquiry
CASE-1807;2024-07-28;2024-07-28;2024-07-01;The chatbot kept crashing when I needed help.;negative;negative;chatbot;12;2;DETRACTOR;0;0;Grupo D,Grupo F,Grupo H;3;3;Grupo H;Balance Inquiry
CASE-1345;2024-03-17;2024-03-17;2024-03-01;The chatbot helped me check my balance instantly, love it!;positive;positive;email;89;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Balance Inquiry
CASE-1318;2025-03-24;2025-03-23;2025-03-01;I had a horrible experience with the phone support.;negative;negative;phone;67;2;DETRACTOR;0;0;Grupo I,Grupo D,Grupo G;3;3;Grupo G;Transaction Error
CASE-1275;2025-11-28;2025-11-23;2025-11-01;Phone support was quick and made my day better!;positive;positive;phone;10;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Account Setup
CASE-1218;2025-05-17;2025-05-11;2025-05-01;The chatbot assisted with my bill payment perfectly.;positive;positive;chatbot;1;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Card Issues
CASE-1252;2025-06-23;2025-06-22;2025-06-01;The email team was neutral, response was fair.;neutral;neutral;phone;99;3;DETRACTOR;0;0;Grupo B,Grupo A,Grupo J,Grupo I;4;4;Grupo I;Account Setup
CASE-1187;2025-08-06;2025-08-03;2025-08-01;The email team sent a reply that solved nothing.;negative;negative;phone;88;1;DETRACTOR;0;1;Grupo J,Grupo E,Grupo F,Grupo B;4;4;Grupo B;Login Problems
CASE-1729;2023-02-22;2023-02-19;2023-02-01;The chatbot assisted with my account setup smoothly.;positive;positive;chatbot;2;5;PROMOTER;1;1;Grupo E,Grupo E,Grupo E;1;3;Grupo E;Payment Issues
CASE-1557;2024-10-07;2024-10-06;2024-10-01;The chatbot was fast and accurate with my inquiry.;positive;positive;phone;11;5;PROMOTER;1;1;Grupo J,Grupo H;2;2;Grupo H;Balance Inquiry
CASE-1933;2025-07-21;2025-07-20;2025-07-01;Email support took days to reply, terrible service!;negative;negative;chatbot;120;2;DETRACTOR;0;1;Grupo D,Grupo I,Grupo F,Grupo J;4;4;Grupo J;Payment Issues
CASE-1999;2023-09-15;2023-09-10;2023-09-01;Phone support was regular, nothing impressive.;neutral;neutral;phone;25;4;PROMOTER;1;0;Grupo G;1;1;Grupo G;Fees Inquiry
CASE-1525;2025-12-30;2025-12-28;2025-12-01;The chatbot kept looping with no solution.;negative;negative;phone;130;2;DETRACTOR;0;0;Grupo E,Grupo D,Grupo C;3;3;Grupo C;Login Problems
CASE-1849;2023-01-24;2023-01-22;2023-01-01;The phone agent was fine, nothing standout.;neutral;neutral;chatbot;13;3;DETRACTOR;0;0;Grupo A;1;1;Grupo A;Card Issues
CASE-1965;2024-08-01;2024-07-28;2024-08-01;Phone support was disrespectful and unhelpful.;negative;negative;phone;71;1;DETRACTOR;0;0;Grupo G,Grupo I;2;2;Grupo I;Fraud Report
CASE-1030;2024-12-17;2024-12-15;2024-12-01;The phone agent was okay, no big problems.;neutral;neutral;chatbot;28;4;PROMOTER;0;0;Grupo A,Grupo A;1;2;Grupo A;Payment Issues
CASE-1573;2025-02-02;2025-02-02;2025-02-01;The phone team made banking so easy for me.;positive;positive;email;280;5;PROMOTER;1;1;Grupo C,Grupo F,Grupo B;3;3;Grupo B;Fees Inquiry
CASE-1754;2025-06-19;2025-06-15;2025-06-01;The email team ignored my urgent request.;negative;negative;phone;208;1;DETRACTOR;0;0;Grupo G,Grupo H,Grupo H,Grupo H;2;4;Grupo H;Account Setup
CASE-1884;2023-11-26;2023-11-26;2023-11-01;The phone agent was great at explaining my loan terms.;positive;positive;phone;9;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Loan Inquiry
CASE-1469;2024-03-13;2024-03-10;2024-03-01;The chatbot failed to answer my mortgage question.;negative;negative;phone;120;1;DETRACTOR;0;0;Grupo E,Grupo D,Grupo C,Grupo J;4;4;Grupo J;Loan Inquiry
CASE-1843;2024-08-29;2024-08-25;2024-08-01;The chatbot gave me irrelevant answers every time.;negative;negative;email;2262;2;DETRACTOR;0;0;Grupo D,Grupo D;1;2;Grupo D;Balance Inquiry
CASE-1441;2023-07-24;2023-07-23;2023-07-01;The email response was vague and frustrating.;negative;negative;chatbot;117;2;DETRACTOR;0;0;Grupo I,Grupo E,Grupo D,Grupo I;3;4;Grupo I;Balance Inquiry
CASE-1050;2023-11-10;2023-11-05;2023-11-01;The phone team made banking so easy for me.;positive;positive;email;232;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-1409;2025-06-04;2025-06-01;2025-06-01;The chatbot assisted with my bill payment perfectly.;positive;positive;chatbot;1;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Loan Inquiry
CASE-1757;2023-05-03;2023-04-30;2023-05-01;The chatbot made checking my rewards so simple.;positive;positive;chatbot;1;4;PROMOTER;1;0;Grupo I;1;1;Grupo I;Transaction Error
CASE-1086;2023-01-28;2023-01-22;2023-01-01;The email response was rude and incomplete.;negative;negative;chatbot;50;2;DETRACTOR;0;1;Grupo A,Grupo J,Grupo H;3;3;Grupo H;Payment Issues
CASE-1505;2025-06-23;2025-06-22;2025-06-01;The email response was spot on and very professional.;positive;positive;chatbot;3;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Loan Inquiry
CASE-1893;2023-02-21;2023-02-19;2023-02-01;Phone support was regular, solved my problem.;neutral;neutral;chatbot;20;3;DETRACTOR;0;1;Grupo E,Grupo A;2;2;Grupo A;Login Problems
CASE-1881;2025-10-09;2025-10-05;2025-10-01;The chatbot saved me so much time with my transaction query.;positive;positive;phone;15;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Loan Inquiry
CASE-1704;2025-09-24;2025-09-21;2025-09-01;Phone support was average, got my issue fixed.;neutral;neutral;email;251;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Balance Inquiry
CASE-1819;2025-01-25;2025-01-19;2025-01-01;The chatbot kept crashing when I needed help.;negative;negative;email;1668;2;DETRACTOR;0;0;Grupo E;1;1;Grupo E;Login Problems
CASE-1157;2024-01-24;2024-01-21;2024-01-01;The phone agent was great at explaining my loan terms.;positive;positive;phone;6;5;PROMOTER;1;1;Grupo H,Grupo H;1;2;Grupo H;Loan Inquiry
CASE-1724;2025-08-14;2025-08-10;2025-08-01;I had a horrible experience with the phone support.;negative;negative;phone;30;2;DETRACTOR;1;0;Grupo G;1;1;Grupo G;Balance Inquiry
CASE-1726;2023-12-12;2023-12-10;2023-12-01;The chatbot failed to assist with my rewards query.;negative;negative;phone;57;1;DETRACTOR;0;0;Grupo E;1;1;Grupo E;Fraud Report
CASE-1586;2025-01-23;2025-01-19;2025-01-01;Great customer service, the phone representative was so polite!;positive;positive;email;319;4;PROMOTER;1;1;Grupo F,Grupo B;2;2;Grupo B;Balance Inquiry
CASE-1415;2024-07-17;2024-07-14;2024-07-01;Email support took a week to reply, ridiculous!;negative;negative;chatbot;53;2;DETRACTOR;0;0;Grupo C,Grupo D;2;2;Grupo D;Transaction Error
CASE-1111;2024-04-13;2024-04-07;2024-04-01;Email support took days to reply, terrible service!;negative;negative;chatbot;16;1;DETRACTOR;0;1;Grupo I;1;1;Grupo I;Payment Issues
CASE-1391;2023-12-03;2023-12-03;2023-12-01;The chatbot couldn’t process my balance request.;negative;negative;chatbot;15;2;DETRACTOR;0;0;Grupo B;1;1;Grupo B;Transaction Error
CASE-1201;2024-11-27;2024-11-24;2024-11-01;The email response was fine, not very helpful.;neutral;neutral;chatbot;14;4;PROMOTER;0;0;Grupo A;1;1;Grupo A;Loan Inquiry
CASE-1958;2024-06-21;2024-06-16;2024-06-01;Email support was the worst, no effort at all.;negative;negative;chatbot;27;1;DETRACTOR;0;1;Grupo F,Grupo E,Grupo B,Grupo F;3;4;Grupo F;General Inquiry
CASE-1003;2025-01-13;2025-01-12;2025-01-01;Great customer service, the phone representative was so polite!;positive;positive;chatbot;3;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Account Setup
CASE-1478;2025-04-13;2025-04-13;2025-04-01;The phone agent was great at explaining my loan terms.;positive;positive;email;87;5;PROMOTER;1;1;Grupo A,Grupo I;2;2;Grupo I;Loan Inquiry
CASE-1341;2023-10-05;2023-10-01;2023-10-01;The staff made transferring funds so easy and stress-free.;positive;positive;email;138;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Loan Inquiry
CASE-1372;2025-11-06;2025-11-02;2025-11-01;I got a fast and friendly response via email, great job!;positive;positive;chatbot;5;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Transaction Error
CASE-1454;2025-01-12;2025-01-12;2025-01-01;The chatbot helped me check my balance instantly, love it!;positive;positive;phone;10;4;PROMOTER;1;1;Grupo G,Grupo D;2;2;Grupo D;Payment Issues
CASE-1581;2023-03-03;2023-02-26;2023-03-01;The chatbot was alright with my payment setup.;neutral;neutral;email;1821;3;DETRACTOR;0;1;Grupo E,Grupo A;2;2;Grupo A;Fees Inquiry
CASE-1495;2024-02-02;2024-01-28;2024-02-01;The email team was fast and solved my problem.;positive;positive;email;234;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Loan Inquiry
CASE-1302;2023-10-03;2023-10-01;2023-10-01;The chatbot helped me with my savings goal easily.;positive;positive;phone;14;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Account Setup
CASE-1631;2023-06-15;2023-06-11;2023-06-01;The phone agent helped me with my rewards program.;positive;positive;phone;8;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Loan Inquiry
CASE-1772;2024-11-07;2024-11-03;2024-11-01;The chatbot assisted with my bill payment perfectly.;positive;positive;phone;5;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Payment Issues
CASE-1278;2025-02-02;2025-02-02;2025-02-01;The email support team was professional and courteous.;positive;positive;chatbot;3;5;PROMOTER;1;1;Grupo D,Grupo E;2;2;Grupo E;Balance Inquiry
CASE-1889;2024-04-29;2024-04-28;2024-04-01;The phone team was courteous and fixed my issue instantly.;positive;positive;phone;12;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Account Setup
CASE-1066;2023-09-11;2023-09-10;2023-09-01;Email support was neutral, did the minimum.;neutral;neutral;chatbot;12;4;PROMOTER;0;1;Grupo F;1;1;Grupo F;Card Issues
CASE-1961;2024-05-26;2024-05-26;2024-05-01;The chatbot was decent, nothing exceptional.;neutral;neutral;phone;37;4;PROMOTER;0;1;Grupo A,Grupo G;2;2;Grupo G;Loan Inquiry
CASE-1615;2025-10-05;2025-10-05;2025-10-01;I waited forever on the phone, and they didn’t help.;negative;negative;email;2266;2;DETRACTOR;0;0;Grupo A,Grupo I,Grupo I,Grupo J;3;4;Grupo J;Transaction Error
CASE-1689;2025-08-12;2025-08-10;2025-08-01;The chatbot gave me nonsense answers all the time.;negative;negative;phone;178;2;DETRACTOR;0;0;Grupo I,Grupo J,Grupo I;2;3;Grupo I;Fees Inquiry
CASE-1326;2024-05-04;2024-04-28;2024-05-01;The phone agent refused to escalate my issue.;negative;negative;phone;52;2;DETRACTOR;0;1;Grupo C;1;1;Grupo C;Transaction Error
CASE-1518;2025-11-26;2025-11-23;2025-11-01;The phone team was slow and unprofessional.;negative;negative;email;2744;2;DETRACTOR;0;0;Grupo G,Grupo F,Grupo A,Grupo J;4;4;Grupo J;Payment Issues
CASE-1344;2025-12-04;2025-11-30;2025-12-01;Email support didn’t even read my message properly.;negative;negative;email;3720;2;DETRACTOR;0;0;Grupo C,Grupo C,Grupo B;2;3;Grupo B;Payment Issues
CASE-1284;2023-01-24;2023-01-22;2023-01-01;The chatbot was alright, took a few tries.;neutral;neutral;chatbot;12;3;DETRACTOR;0;0;Grupo F;1;1;Grupo F;General Inquiry
CASE-1085;2024-12-14;2024-12-08;2024-12-01;The phone agent helped me, but it was slow.;neutral;neutral;phone;19;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Login Problems
CASE-1123;2025-01-16;2025-01-12;2025-01-01;Email support was excellent and very responsive.;positive;positive;chatbot;8;5;PROMOTER;1;1;Grupo B,Grupo F,Grupo B;2;3;Grupo B;Payment Issues
CASE-1070;2025-08-19;2025-08-17;2025-08-01;Phone support was awful, they ignored my problem.;negative;negative;chatbot;26;1;DETRACTOR;0;0;Grupo A,Grupo E,Grupo G,Grupo C;4;4;Grupo C;Card Issues
CASE-1978;2024-04-22;2024-04-21;2024-04-01;The chatbot helped me with my savings goal easily.;positive;positive;chatbot;3;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Payment Issues
CASE-1077;2024-08-19;2024-08-18;2024-08-01;The chatbot kept crashing when I needed help.;negative;negative;email;2645;2;DETRACTOR;0;0;Grupo J,Grupo C,Grupo B,Grupo A;4;4;Grupo A;Transaction Error
CASE-1946;2023-06-08;2023-06-04;2023-06-01;The phone agent didn’t know basic banking info.;negative;negative;phone;151;1;DETRACTOR;0;1;Grupo F,Grupo A,Grupo D;3;3;Grupo D;Payment Issues
CASE-1467;2023-08-02;2023-07-30;2023-08-01;The email response was professional and to the point.;positive;positive;phone;14;5;PROMOTER;1;1;Grupo B,Grupo G;2;2;Grupo G;Payment Issues
CASE-1731;2023-08-04;2023-07-30;2023-08-01;The chatbot handled my request, but it was basic.;neutral;neutral;phone;20;3;DETRACTOR;1;0;Grupo J;1;1;Grupo J;Card Issues
CASE-1774;2023-02-07;2023-02-05;2023-02-01;The chatbot gave me accurate info about my account in seconds.;positive;positive;email;494;5;PROMOTER;1;1;Grupo D,Grupo A,Grupo F;3;3;Grupo F;Card Issues
CASE-1034;2025-07-18;2025-07-13;2025-07-01;The chatbot helped me with my savings goal easily.;positive;positive;chatbot;4;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Balance Inquiry
CASE-1523;2023-09-29;2023-09-24;2023-09-01;Fantastic support over the phone, my issue was fixed in minutes.;positive;positive;phone;12;5;PROMOTER;1;1;Grupo G,Grupo H,Grupo D;3;3;Grupo D;Card Issues
CASE-1826;2024-11-25;2024-11-24;2024-11-01;The phone team was amazing with my inquiry.;positive;positive;chatbot;6;4;PROMOTER;1;0;Grupo C,Grupo B;2;2;Grupo B;Account Setup
CASE-1215;2024-07-28;2024-07-28;2024-07-01;I got a fast and friendly response via email, great job!;positive;positive;email;274;4;PROMOTER;1;1;Grupo J,Grupo A;2;2;Grupo A;Loan Inquiry
CASE-1197;2025-02-05;2025-02-02;2025-02-01;The email team was courteous and efficient.;positive;positive;chatbot;5;5;PROMOTER;1;1;Grupo C,Grupo F;2;2;Grupo F;Balance Inquiry
CASE-1696;2023-03-20;2023-03-19;2023-03-01;The phone team didn’t solve my transfer problem.;negative;negative;phone;293;2;DETRACTOR;0;0;Grupo J,Grupo C,Grupo A,Grupo A,Grupo A;3;5;Grupo A;Payment Issues
CASE-1065;2025-09-14;2025-09-14;2025-09-01;The phone team wasted my time with no solution.;negative;negative;chatbot;24;1;DETRACTOR;0;1;Grupo A,Grupo C;2;2;Grupo C;Fees Inquiry
CASE-1746;2024-09-21;2024-09-15;2024-09-01;The email team sent me a reply that made no sense.;negative;negative;email;2669;2;DETRACTOR;0;1;Grupo A,Grupo E;2;2;Grupo E;Payment Issues
CASE-1938;2024-06-28;2024-06-23;2024-06-01;The agent on the phone explained my mortgage options clearly.;positive;positive;phone;15;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Card Issues
CASE-1208;2025-01-25;2025-01-19;2025-01-01;The chatbot explained my fees so clearly, I’m impressed!;positive;positive;email;218;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Account Setup
CASE-1443;2024-05-18;2024-05-12;2024-05-01;Phone support was efficient and solved my problem fast.;positive;positive;phone;15;4;PROMOTER;1;1;Grupo A,Grupo B;2;2;Grupo B;Payment Issues
CASE-1629;2023-04-10;2023-04-09;2023-04-01;The phone team was great at helping me with my card.;positive;positive;chatbot;2;4;PROMOTER;1;1;Grupo C,Grupo B,Grupo F;3;3;Grupo F;Login Problems
CASE-1913;2024-11-17;2024-11-17;2024-11-01;The chatbot failed to process my payment request.;negative;negative;chatbot;13;2;DETRACTOR;0;0;Grupo C;1;1;Grupo C;Transaction Error
CASE-1695;2023-02-04;2023-01-29;2023-02-01;The phone agent was impatient and rude.;negative;negative;chatbot;56;1;DETRACTOR;0;0;Grupo A,Grupo D;2;2;Grupo D;Card Issues
CASE-1022;2025-06-13;2025-06-08;2025-06-01;The email team responded promptly and solved my issue.;positive;positive;chatbot;2;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;General Inquiry
CASE-1520;2023-06-08;2023-06-04;2023-06-01;The chatbot gave me wrong info about my account.;negative;negative;phone;37;1;DETRACTOR;0;0;Grupo C,Grupo B;2;2;Grupo B;Loan Inquiry
CASE-1922;2023-03-10;2023-03-05;2023-03-01;The phone team resolved my overdraft issue professionally.;positive;positive;phone;5;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Account Setup
CASE-1042;2024-07-31;2024-07-28;2024-07-01;The email response was detailed and very helpful.;positive;positive;phone;10;4;PROMOTER;1;1;Grupo F,Grupo I;2;2;Grupo I;Loan Inquiry
CASE-1813;2024-01-08;2024-01-07;2024-01-01;Email support was fast and fixed my login issue.;positive;positive;phone;14;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Loan Inquiry
CASE-1917;2023-05-03;2023-04-30;2023-05-01;The email team provided a clear and quick solution.;positive;positive;email;198;4;PROMOTER;1;1;Grupo G,Grupo G;1;2;Grupo G;General Inquiry
CASE-1708;2025-10-26;2025-10-26;2025-10-01;The phone service was awful, no one knew what to do.;negative;negative;phone;119;2;DETRACTOR;0;0;Grupo I,Grupo D,Grupo A,Grupo E;4;4;Grupo E;Transaction Error
CASE-1940;2025-04-02;2025-03-30;2025-04-01;Email support was fast and fixed my login issue.;positive;positive;chatbot;2;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Balance Inquiry
CASE-1699;2023-12-29;2023-12-24;2023-12-01;The email response was rude and incomplete.;negative;negative;chatbot;16;2;DETRACTOR;0;0;Grupo A;1;1;Grupo A;Fraud Report
CASE-1805;2023-05-27;2023-05-21;2023-05-01;The phone team was professional and handled my request well.;positive;positive;phone;6;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Card Issues
CASE-1253;2025-05-21;2025-05-18;2025-05-01;The email response was clear and solved my problem.;positive;positive;email;106;5;PROMOTER;1;1;Grupo J;1;1;Grupo J;Payment Issues
CASE-1287;2025-09-02;2025-08-31;2025-09-01;The chatbot was decent, nothing exceptional.;neutral;neutral;chatbot;10;4;PROMOTER;1;1;Grupo G,Grupo E;2;2;Grupo E;Card Issues
CASE-1838;2025-09-10;2025-09-07;2025-09-01;The chatbot misunderstood my loan inquiry completely.;negative;negative;chatbot;101;2;DETRACTOR;0;1;Grupo A,Grupo B,Grupo C,Grupo I;4;4;Grupo I;General Inquiry
CASE-1199;2023-12-20;2023-12-17;2023-12-01;Email support was fine, met my expectations.;neutral;neutral;chatbot;11;4;PROMOTER;0;0;Grupo A,Grupo I;2;2;Grupo I;Card Issues
CASE-1722;2023-06-06;2023-06-04;2023-06-01;The phone team was slow and didn’t care.;negative;negative;email;3709;2;DETRACTOR;0;0;Grupo I,Grupo J,Grupo H;3;3;Grupo H;Transaction Error
CASE-1170;2024-12-31;2024-12-29;2024-12-01;The phone team wasted my time with no solution.;negative;negative;email;3874;2;DETRACTOR;0;0;Grupo B;1;1;Grupo B;General Inquiry
